,Channel,Compound,Date,Negative,Neutral,Positive,Tweet_Ago
319,@FoxNews,-0.296,Sat Mar 10 02:46:34 +0000 2018,0.136,0.864,0.0,20
320,@FoxNews,-0.4404,Sat Mar 10 02:39:22 +0000 2018,0.127,0.873,0.0,21
321,@FoxNews,0.3818,Sat Mar 10 02:31:06 +0000 2018,0.0,0.867,0.133,22
322,@FoxNews,0.0516,Sat Mar 10 02:23:20 +0000 2018,0.21,0.565,0.226,23
323,@FoxNews,0.0,Sat Mar 10 02:19:52 +0000 2018,0.0,1.0,0.0,24
324,@FoxNews,-0.6222,Sat Mar 10 02:09:25 +0000 2018,0.195,0.805,0.0,25
325,@FoxNews,0.1027,Sat Mar 10 01:51:04 +0000 2018,0.0,0.877,0.123,26
326,@FoxNews,0.1027,Sat Mar 10 01:45:28 +0000 2018,0.0,0.92,0.08,27
327,@FoxNews,0.0,Sat Mar 10 01:40:44 +0000 2018,0.0,1.0,0.0,28
328,@FoxNews,0.0,Sat Mar 10 01:35:15 +0000 2018,0.0,1.0,0.0,29
329,@FoxNews,0.0,Sat Mar 10 01:29:53 +0000 2018,0.0,1.0,0.0,30
330,@FoxNews,-0.5859,Sat Mar 10 01:22:39 +0000 2018,0.325,0.556,0.12,31
331,@FoxNews,-0.3818,Sat Mar 10 01:17:53 +0000 2018,0.163,0.736,0.101,32
332,@FoxNews,0.0,Sat Mar 10 01:14:54 +0000 2018,0.0,1.0,0.0,33
333,@FoxNews,-0.34,Sat Mar 10 01:11:20 +0000 2018,0.112,0.888,0.0,34
334,@FoxNews,0.0258,Sat Mar 10 00:54:13 +0000 2018,0.0,0.927,0.073,35
335,@FoxNews,-0.25,Sat Mar 10 00:43:31 +0000 2018,0.133,0.867,0.0,36
336,@FoxNews,-0.3612,Sat Mar 10 00:34:45 +0000 2018,0.189,0.687,0.124,37
337,@FoxNews,0.0772,Sat Mar 10 00:23:21 +0000 2018,0.0,0.944,0.056,38
338,@FoxNews,0.1027,Sat Mar 10 00:18:28 +0000 2018,0.0,0.877,0.123,39
339,@FoxNews,-0.34,Sat Mar 10 00:05:03 +0000 2018,0.118,0.882,0.0,40
340,@FoxNews,0.0,Sat Mar 10 00:01:17 +0000 2018,0.0,1.0,0.0,41
341,@FoxNews,0.0,Sat Mar 10 00:00:00 +0000 2018,0.0,1.0,0.0,42
342,@FoxNews,0.0,Fri Mar 09 23:51:22 +0000 2018,0.0,1.0,0.0,43
343,@FoxNews,0.4215,Fri Mar 09 23:47:19 +0000 2018,0.0,0.882,0.118,44
344,@FoxNews,0.5267,Fri Mar 09 23:42:04 +0000 2018,0.0,0.764,0.236,45
345,@FoxNews,0.0,Fri Mar 09 23:31:47 +0000 2018,0.0,1.0,0.0,46
346,@FoxNews,-0.5574,Fri Mar 09 23:27:50 +0000 2018,0.231,0.769,0.0,47
347,@FoxNews,-0.4939,Fri Mar 09 23:16:01 +0000 2018,0.262,0.738,0.0,48
348,@FoxNews,-0.3182,Fri Mar 09 23:13:51 +0000 2018,0.247,0.753,0.0,49
349,@FoxNews,0.0,Fri Mar 09 23:07:28 +0000 2018,0.0,1.0,0.0,50
350,@FoxNews,0.4215,Fri Mar 09 22:56:58 +0000 2018,0.0,0.781,0.219,51
351,@FoxNews,-0.7906,Fri Mar 09 22:47:02 +0000 2018,0.354,0.583,0.062,52
352,@FoxNews,0.2732,Fri Mar 09 22:36:28 +0000 2018,0.079,0.791,0.13,53
